source_id,total_length_km
114N04361,3.90314
114N04362,1.6836
114N04363,1.3936600000000001
114N04364,2.34475
114N04365,2.72822
114N04366,1.7901099999999999
114N04367,0.8699100000000001
114N04368,0.6814399999999999
114N04369,1.7108599999999998
114N04370,1.3547799999999999
114N04371,0.5616
114N04372,0.77171
114N04373,1.80457
114N04374,1.3258299999999998
114N04375,1.8880000000000001
114N04376,2.22178
114N04377,0.80852
114N04378,1.57223
114N04379,3.04316
114N04380,2.27535
114N04381,6.31606
114N04383,3.09693
114N04384,2.99201
114N04385,5.3506
114N04386,3.82453
114N04387,1.1799899999999999
114N04388,1.13182
114N04389,1.2357799999999999
114N04390,2.4567099999999997
114N04391,1.5681100000000001
114N04392,1.2162899999999999
114N04393,3.13935
114N04394,2.46769
114N04395,2.2063099999999998
114N04396,0.57701
114N04397,1.7354
114N04398,1.43492
114N04399,1.5151700000000001
114N04400,1.7932400000000002
114N04401,0.34826
114N04402,1.35814
114N04403,1.74207
114N04404,2.5815200000000003
114N04405,1.59827
114N04406,3.9129400000000003
114N04407,3.65276
114N04408,5.95349
114N04409,1.16264
114N04410,0.8483799999999999
114N04411,1.1421700000000001
114N04412,1.6579099999999998
114N04413,1.04443
114N04414,1.1086
114N04415,0.94291
114N04416,0.90601
114N04417,1.07549
114N04418,0.8555299999999999
114N04419,0.6056600000000001
114N04420,0.9884299999999999
114N04421,0.76663
114N04422,3.44306
114N04423,3.9911199999999996
114N04424,3.78545
114N04425,3.6187699999999996
114N04426,2.38131
114N04427,5.75751
114N04428,13.09655
114N04429,11.360330000000001
114N04430,6.23519
114N04431,0.68016
114N04432,1.15477
114N04433,3.8521300000000003
114N04434,3.3635599999999997
114N04435,2.18299
114N04436,1.54742
114N04437,1.26058
114N04438,1.2897100000000001
114N04439,1.6660099999999998
114N04440,1.07964
114N04441,2.12145
114N04442,1.09112
114N04443,0.7978
114N04444,0.67613
114N04445,0.8788600000000001
114N04446,2.84278
114N04447,0.8004899999999999
114N04448,0.41703
114N04449,1.09381
114N04450,0.16715
114N04451,0.65938
114N04452,1.07721
114N04453,0.65874
114N04454,0.4848
114N04455,0.39408000000000004
114N04456,0.9335200000000001
114N04457,1.43595
114N04458,0.31682
114N04459,1.1526399999999999
114N04460,0.87141
114N04461,0.75594
114N04462,1.20994
114N04463,1.09933
114N04464,0.93696
114N04465,0.55999
114N04466,1.0085899999999999
114N04467,0.8156
114N04468,1.05595
114N04469,0.72263
114N04470,1.48081
114N04471,1.8546599999999998
